MH_05,LM_30,LM_40,BH_35A,BH_35B,BH_35E,BH_40A,BH_40B,BH_40C,BH_40D,BH_40E,BH_40F,BH_40G,BH_40H,AGEGRP,SEX,PCHILD,MARSTATC,DWELCODC,PEDUC_LC,PTELEWSC,PEMPSTC,PFSCDV,PERS_WGT
3,3,4,3,4,4,3,3,3,3,3,3,1,3,2,1,0,4,1,3,3,1,0,31791.1317
1,6,3,1,1,1,3,3,3,3,1,1,1,1,1,1,1,4,1,2,9,4,2,31865.7554
2,6,5,1,4,3,3,3,3,2,1,1,1,3,5,1,0,1,1,5,9,4,0,4341.9733
2,6,4,1,3,3,9,9,9,3,1,1,9,9,7,2,0,1,3,2,9,4,0,2733.8689
3,6,1,1,4,4,3,2,3,3,3,3,3,3,6,2,0,1,4,1,9,4,0,35682.5478
4,6,4,1,1,3,1,3,3,2,2,2,2,3,2,2,1,1,1,7,9,4,0,4117.1785
2,5,4,1,4,4,3,3,3,3,3,3,3,3,2,2,0,4,4,4,3,1,0,1293.5004
3,4,4,4,4,2,3,3,3,2,1,1,1,3,2,1,0,4,2,4,2,1,0,4805.0368
2,3,3,3,4,2,1,3,3,3,3,1,3,3,4,2,0,4,4,4,4,3,0,786.2762
1,6,4,1,4,4,3,3,3,3,1,1,1,3,6,2,0,3,1,4,9,4,9,1224.3292
1,6,4,1,4,4,3,3,3,3,1,1,3,3,7,2,0,1,1,1,9,4,0,5319.7194
4,4,2,1,4,4,3,3,3,1,1,1,3,3,2,2,0,4,3,6,1,1,0,10079.398
3,6,5,3,4,4,3,3,3,3,3,3,3,3,6,2,0,2,4,2,9,4,0,4373.4497
1,6,4,3,3,3,3,3,3,3,3,3,3,3,5,2,0,3,4,6,9,4,0,554.6366
5,4,4,1,4,4,1,3,3,1,1,1,3,3,4,2,1,3,1,5,2,1,0,2290.0703
3,4,4,1,4,3,3,3,3,3,2,3,2,3,2,2,1,2,4,6,2,1,0,13495.9834
1,5,4,1,4,4,3,3,3,3,3,3,3,3,4,2,1,4,2,3,3,1,0,16509.9835
4,5,4,3,4,4,3,3,3,3,1,1,3,3,3,1,1,1,1,3,3,1,0,7947.686
1,3,1,3,4,4,3,1,3,3,1,1,1,1,3,1,0,4,1,3,4,3,0,3115.9912
5,4,4,1,1,4,1,3,3,1,3,3,1,3,3,1,0,4,3,7,2,1,0,5434.3525
4,5,4,1,4,3,3,3,3,3,3,3,3,3,5,2,0,1,1,2,3,1,0,17929.1343
2,6,4,1,4,4,3,3,1,3,3,3,3,3,5,1,0,2,3,5,9,4,0,2267.4437
5,6,1,1,3,4,1,1,1,1,1,3,3,3,3,1,0,4,1,2,9,4,0,19909.1911
1,6,4,3,4,2,2,9,9,9,1,1,9,9,6,2,0,1,2,2,9,4,0,10574.0768
2,4,3,3,4,3,3,3,3,3,3,3,3,3,4,1,0,4,1,2,3,1,1,1420.3237
3,2,5,1,4,4,3,3,3,2,1,3,3,3,4,2,0,1,1,7,4,3,0,1252.4166
1,6,4,3,9,9,3,3,3,3,1,3,3,1,7,2,0,1,1,2,9,4,0,5915.421
3,6,4,4,3,4,3,3,3,3,3,3,9,9,7,1,0,3,2,6,9,4,2,4416.1535
2,5,3,1,4,3,3,3,3,1,1,1,1,3,6,2,0,4,2,5,4,3,0,998.1188
3,4,4,1,4,2,2,3,3,3,3,3,3,2,3,1,0,4,2,4,2,1,0,1305.2261
2,6,2,1,4,3,3,3,3,3,3,3,3,3,2,2,0,4,2,4,9,4,0,9187.3442
1,6,2,1,1,4,3,3,3,3,1,1,1,1,7,2,0,3,3,4,9,4,0,1169.7358
3,5,4,1,1,3,3,3,3,3,3,1,3,3,3,1,0,3,4,1,4,2,0,4585.4265
1,5,4,1,4,4,3,3,3,3,3,3,3,3,3,1,0,3,2,5,3,1,0,7668.7795
3,5,4,4,4,4,3,3,3,3,1,3,3,1,4,1,0,1,1,4,3,1,0,2755.0511
3,6,5,3,1,4,3,3,3,2,2,1,3,3,5,2,0,1,1,7,9,4,9,1142.2386
3,6,2,3,3,3,3,3,3,3,3,3,3,3,6,2,0,3,2,4,9,4,2,1042.6993
3,2,2,1,1,4,3,3,3,3,1,3,3,3,7,1,0,3,1,7,2,1,0,2547.0596
3,4,3,1,4,4,3,3,3,1,1,3,3,3,6,1,0,1,1,7,2,1,0,1082.9144
